         12555632 function calls (12460749 primitive calls) in 15.088 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      982    0.000    0.000    0.004    0.000 common.py:608(is_period_dtype)
       38    0.000    0.000    0.001    0.000 response.py:593(_update_chunk_length)
      202    0.000    0.000    0.002    0.000 common.py:240(asarray_tuplesafe)
      242    0.000    0.000    0.003    0.000 numpy_.py:122(__init__)
      274    0.000    0.000    0.001    0.000 generic.py:5145(__finalize__)
       22    0.000    0.000    0.025    0.001 frame.py:4272(set_index)
1263/1212    0.000    0.000    0.003    0.000 _asarray.py:16(asarray)
       85    0.000    0.000    0.001    0.000 _asarray.py:223(require)
       38    0.000    0.000    0.027    0.001 response.py:318(_decode)
       71    0.000    0.000    0.004    0.000 managers.py:1995(_fast_count_smallints)
      163    0.000    0.000    0.002    0.000 base.py:710(_engine)
      656    0.000    0.000    0.001    0.000 os.py:673(__getitem__)
    74/71    0.000    0.000    0.037    0.001 frame.py:3458(__setitem__)
      242    0.000    0.000    0.118    0.000 expressions.py:206(evaluate)
       61    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      424    0.000    0.000    0.002    0.000 base.py:2888(get_loc)
        6    0.000    0.000    0.126    0.021 {built-in method builtins.max}
      242    0.000    0.000    0.004    0.000 fromnumeric.py:2843(prod)
      144    0.000    0.000    0.004    0.000 managers.py:942(get)
      227    0.000    0.000    0.002    0.000 common.py:1619(is_bool_dtype)
       84    0.000    0.000    0.001    0.000 cast.py:1239(construct_1d_object_array_from_listlike)
      181    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      836    0.000    0.000    0.000    0.000 blocks.py:131(_check_ndim)
      242    0.000    0.000    0.000    0.000 missing.py:151(dispatch_fill_zeros)
      113    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       64    0.000    0.000    0.006    0.000 managers.py:126(__init__)
        1    0.000    0.000    0.001    0.001 multi.py:1318(_engine)
     1076    0.000    0.000    0.000    0.000 {built-in method numpy.geterrobj}
